airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-06-27,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,7005
Indigo,2019-04-15,Kolkata,Banglore,06:20:00,10:30:00,250,1.0,No Info,4226
Jet Airways,2019-04-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,10909
Multiple Carriers,2019-05-18,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,8283
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,13502
Multiple Carriers,2019-06-03,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,No Info,13584
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,19:15:00,730,1.0,In-flight meal not included,12717
Indigo,2019-06-09,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5644
Indigo,2019-04-06,Kolkata,Banglore,06:15:00,10:30:00,255,1.0,No Info,4226
Multiple Carriers,2019-06-01,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,12042
Multiple Carriers,2019-06-09,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,6723
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13727
Spicejet,2019-03-18,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No check-in baggage included,2385
Jet Airways,2019-03-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,6017
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,No Info,13584
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,14714
Air India,2019-05-21,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No Info,15554
Air India,2019-06-06,Kolkata,Banglore,08:20:00,18:30:00,610,2.0,No Info,10697
Vistara,2019-05-21,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6741
Air India,2019-03-27,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,7090
Air India,2019-03-18,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5170
Air India,2019-03-24,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,31945
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
Air India,2019-04-01,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,9920
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,12898
Indigo,2019-06-21,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,13067
Air India,2019-06-27,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Multiple Carriers,2019-05-27,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,7878
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,No Info,17261
Indigo,2019-03-09,Banglore,New Delhi,11:20:00,15:25:00,245,1.0,No Info,5746
Multiple Carriers,2019-06-12,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,6795
Indigo,2019-05-03,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3858
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,6795
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,No Info,19225
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,No Info,13941
Indigo,2019-06-15,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6195
Air India,2019-06-27,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,12646
Indigo,2019-06-09,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,13377
Air India,2019-05-12,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6327
Indigo,2019-06-18,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12373
Vistara,2019-05-06,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Jet Airways,2019-03-27,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,No Info,5678
Air India,2019-03-15,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14781
Multiple Carriers,2019-03-03,Delhi,Cochin,15:25:00,01:35:00,610,1.0,No Info,15147
Indigo,2019-06-12,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Jet Airways,2019-05-21,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,12898
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Air India,2019-06-12,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14571
Air India,2019-03-21,Banglore,New Delhi,06:55:00,23:20:00,985,1.0,No Info,6987
Indigo,2019-06-15,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-06-06,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6069
Jet Airways,2019-05-21,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12898
Multiple Carriers,2019-03-03,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No Info,11966
Indigo,2019-03-09,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,11532
Spicejet,2019-06-03,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,5830
Air India,2019-06-09,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13381
Indigo,2019-03-24,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,4326
Indigo,2019-05-15,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No Info,6442
Jet Airways,2019-05-06,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Indigo,2019-06-03,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6593
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,14714
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,10844
Indigo,2019-04-27,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4804
Jet Airways,2019-05-09,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,15554
Indigo,2019-04-03,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Air India,2019-05-24,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,7171
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,14714
Indigo,2019-05-09,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Air India,2019-05-09,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No Info,8366
Jet Airways,2019-06-09,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,7229
Spicejet,2019-04-01,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3625
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,10844
Jet Airways,2019-04-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Vistara,2019-03-24,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No Info,6138
Jet Airways,2019-06-24,Delhi,Cochin,17:35:00,19:00:00,1525,2.0,No Info,13922
Air India,2019-06-01,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,7171
Spicejet,2019-04-15,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Multiple Carriers,2019-03-27,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No Info,6128
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14676
Indigo,2019-05-18,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,7503
Multiple Carriers,2019-03-09,Delhi,Cochin,06:50:00,19:15:00,745,1.0,In-flight meal not included,14817
Indigo,2019-05-24,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,7888
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,7064
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,13029
Vistara,2019-03-03,Banglore,New Delhi,06:40:00,12:35:00,355,1.0,No Info,12476
Indigo,2019-05-01,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Indigo,2019-05-18,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-06-03,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,8016
Indigo,2019-05-24,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3850
Air India,2019-06-01,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,10651
Multiple Carriers,2019-03-27,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No Info,6148
Indigo,2019-06-09,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
Air India,2019-05-09,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,10441
Air India,2019-06-15,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,9929
Indigo,2019-05-12,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Spicejet,2019-05-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3311
Air India,2019-05-12,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Indigo,2019-05-15,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10123
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7933
Spicejet,2019-06-15,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,3359
Air India,2019-05-12,Kolkata,Banglore,16:45:00,12:30:00,1185,2.0,No Info,14330
Air Asia,2019-06-06,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,6857
Air India,2019-03-06,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,15428
Air India,2019-06-12,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,13532
Vistara,2019-04-09,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Multiple Carriers,2019-06-01,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,11200
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,11467
Spicejet,2019-06-18,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3257
Indigo,2019-05-21,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6794
Indigo,2019-05-12,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Spicejet,2019-05-18,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5975
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Indigo,2019-05-27,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5601
Indigo,2019-03-06,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,7673
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,15190
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,8452
Air India,2019-06-09,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No Info,7662
Indigo,2019-05-21,Delhi,Cochin,11:55:00,00:55:00,780,1.0,No Info,6282
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Air India,2019-06-15,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,22:55:00,1595,1.0,No Info,7770
Indigo,2019-06-01,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Indigo,2019-06-03,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Multiple Carriers,2019-06-01,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7408
Indigo,2019-06-21,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,12373
Indigo,2019-05-27,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Air India,2019-06-01,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,8372
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,In-flight meal not included,9663
Multiple Carriers,2019-06-01,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Goair,2019-06-09,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,9069
Indigo,2019-05-15,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,8618
Indigo,2019-03-24,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,8033
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,9870
Vistara,2019-06-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Vistara,2019-06-24,Chennai,Kolkata,07:45:00,10:00:00,135,0.0,No Info,3687
Jet Airways,2019-06-03,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262
Indigo,2019-03-03,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,5232
Spicejet,2019-05-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Indigo,2019-05-09,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,8330
Goair,2019-04-15,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5052
Air India,2019-03-21,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,8236
Indigo,2019-06-15,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-03-27,Delhi,Cochin,19:45:00,19:45:00,1440,1.0,In-flight meal not included,5963
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,8371
Air India,2019-05-15,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8891
Multiple Carriers,2019-05-27,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,11573
Indigo,2019-03-01,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,12649
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,13731
Indigo,2019-05-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6979
Indigo,2019-06-24,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Spicejet,2019-05-27,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3257
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,14714
Air Asia,2019-05-18,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,6857
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,16:45:00,1130,1.0,No Info,12395
Spicejet,2019-05-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Air India,2019-06-12,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Jet Airways,2019-04-09,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,9483
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Multiple Carriers,2019-06-24,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,8143
Goair,2019-05-21,Delhi,Cochin,07:25:00,13:20:00,355,1.0,No Info,5842
Spicejet,2019-05-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,10844
Spicejet,2019-04-03,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,8452
Jet Airways,2019-03-27,Delhi,Cochin,23:05:00,04:25:00,320,1.0,In-flight meal not included,7438
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,7064
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,14571
Indigo,2019-03-24,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,6565
Indigo,2019-03-09,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4148
Jet Airways,2019-06-03,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,14714
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-21,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,14067
Vistara,2019-04-24,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5613
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,21:20:00,800,1.0,In-flight meal not included,11087
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,18:50:00,820,2.0,In-flight meal not included,8728
Spicejet,2019-03-24,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No check-in baggage included,4273
Air Asia,2019-06-01,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Indigo,2019-04-21,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,5224
Air India,2019-05-12,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Indigo,2019-05-01,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5644
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,No Info,13044
Air India,2019-06-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,6587
Indigo,2019-06-01,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,6442
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,9899
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,13364
Spicejet,2019-05-24,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,9630
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-27,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,6953
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,11627
Air India,2019-03-06,Mumbai,Hyderabad,09:15:00,09:15:00,1440,1.0,No Info,9535
Jet Airways,2019-06-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,8016
Jet Airways,2019-03-03,Delhi,Cochin,09:00:00,18:50:00,590,1.0,No Info,17024
Spicejet,2019-03-03,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,6860
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,00:10:00,275,1.0,No Info,4860
Spicejet,2019-05-01,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,19:10:00,1220,1.0,No Info,25735
Indigo,2019-03-09,Banglore,New Delhi,12:05:00,17:05:00,300,1.0,No Info,4588
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,12692
Multiple Carriers,2019-05-09,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,8888
Multiple Carriers,2019-05-01,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9794
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,21:20:00,1350,1.0,No Info,25735
Air India,2019-05-18,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13873
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Air India,2019-05-01,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6121
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,12819
Air India,2019-05-06,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,14120
Air Asia,2019-06-09,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,7870
Goair,2019-06-15,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5842
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13044
Air India,2019-06-03,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Air India,2019-05-18,Kolkata,Banglore,08:20:00,11:10:00,1610,2.0,No Info,11222
Air India,2019-03-09,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,10945
Air India,2019-03-21,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,6482
Jet Airways,2019-03-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2759
Multiple Carriers,2019-03-03,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,16863
Indigo,2019-06-24,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6442
Goair,2019-04-15,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4632
Multiple Carriers,2019-06-15,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,9526
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Multiple Carriers,2019-04-09,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,12853
Multiple Carriers,2019-03-21,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No Info,7363
Multiple Carriers,2019-06-12,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,15965
Spicejet,2019-03-09,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,4391
